Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Name-additional
2014,1,,28,FrRnd,28,Royals,Y,$1925000,Foster Griffin (minors),LHP,-0.1,0,0,0,,,7,1,0,6.75,1.50,0,HS,The First Academy (Orlando FL),grifffo01
2014,1,,30,FrRnd,30,Rangers,Y,$1750000,Luis Ortiz (minors),RHP,0.0,0,0,0,,,24,0,2,4.76,1.71,1,HS,Sanger HS (Sanger CA),ortizlu02
2014,1,,31,FrRnd,31,Indians,Y,$1600000,Justus Sheffield (minors),LHP,-0.9,3,4,0,.250,.500,48,12,12,5.47,1.63,0,HS,Tullahoma HS (Tullahoma TN),sheffju01
2014,1,,33,FrRnd,33,Red Sox,Y,$1500000,Michael Kopech (minors),RHP,6.0,5,1,0,.000,.000,184,21,33,4.14,1.33,15,HS,Mount Pleasant HS (Mount Pleasant TX),kopecmi01
2014,1,,34,FrRnd,34,Cardinals,Y,$2000000,Jack Flaherty (minors),RHP,14.2,84,123,1,.154,.412,190,63,56,3.8,1.20,0,HS,Harvard-Westlake HS (Los Angeles CA),flaheja01
2013,1,,4,FrRnd,4,Twins,Y,$4544400,Kohl Stewart (minors),RHP,0.2,4,3,0,.333,.667,21,5,4,4.88,1.48,0,HS,St. Pius X HS (Houston TX),stewako01
2013,1,,7,FrRnd,7,Red Sox,Y,$2750000,Trey Ball (minors),LHP,,,,,,,,,,,,,HS,New Castle Chrysler HS (New Castle IN),-9999
2013,1,,10,FrRnd,10,Blue Jays,N,,Phil Bickford (minors),RHP,0.3,58,3,0,.333,.667,187,11,8,4.62,1.24,2,HS,Oaks Christian HS (Westlake CA),bickfph01
2013,1,,22,FrRnd,22,Orioles,Y,$1947600,Hunter Harvey (minors),RHP,4.0,2,0,0,,,182,10,11,3.11,1.10,11,HS,Bandys HS (Catawba NC),harvehu01
2013,1,,28,FrRnd,28,Cardinals via Brewers,Y,$1785300,*Rob Kaminsky (minors),LHP,-0.1,0,0,0,,,5,0,0,1.93,1.07,0,HS,St. Joseph Regional HS (Montvale NJ),kaminro01
2013,1,,33,FrRnd,33,Yankees via Nationals,Y,$1650100,*Ian Clarkin (minors),LHP,,,,,,,,,,,,,HS,Madison HS (San Diego CA),-9999
2013,1,,35,FrRnd,35,Marlins,N,,Matt Krook (minors),LHP,-0.5,0,0,0,,,8,0,0,16.2,2.64,0,HS,St. Ignatius College Preparatory (San Francisco CA),krookma01
2012,1,,7,FrRnd,7,Padres,Y,$3000000,Max Fried (minors),LHP,28.4,93,126,0,.214,.542,200,92,41,3.03,1.15,0,HS,Harvard-Westlake HS (Los Angeles CA),friedma01
2012,1,,14,FrRnd,14,Reds,Y,$2000000,Nick Travieso (minors),RHP,,,,,,,,,,,,,HS,Archbishop McCarthy HS (Southwest Ranches FL),-9999
2012,1,,16,FrRnd,16,Nationals,Y,$2925000,Lucas Giolito (minors),RHP,14.4,13,18,0,.167,.333,206,71,66,4.3,1.26,0,HS,Harvard-Westlake HS (Los Angeles CA),giolilu01
2012,1,,21,FrRnd,21,Braves,Y,$1650000,Lucas Sims (minors),RHP,2.3,93,27,0,.074,.148,263,23,19,4.86,1.33,12,HS,Brookwood HS (Snellville GA),simslu01
2012,1,,30,FrRnd,30,Yankees,Y,$1200000,Ty Hensley (minors),RHP,,,,,,,,,,,,,HS,Edmond Santa Fe HS (Edmond OK),-9999
2012,1s,,32,FrRnd,32,Twins,Y,$1550000,*José Berríos (minors),RHP,16.9,11,17,0,.118,.284,275,108,82,4.08,1.24,0,HS,Papa Juan HS (Bayamon Puerto Rico),berrijo01
2012,1s,,33,FrRnd,33,Padres,Y,$1200000,*Zach Eflin (minors),RHP,12.6,93,167,1,.126,.298,200,68,67,4.28,1.24,1,HS,Paul J. Hagerty HS (Oviedo FL),eflinza01
2012,1s,,40,FrRnd,40,Phillies,Y,$1291300,*Shane Watson (minors),RHP,,,,,,,,,,,,,HS,Lakewood HS (Lakewood CA),-9999
2012,1s,,41,FrRnd,41,Astros,Y,$2500000,*Lance McCullers Jr. (minors),RHP,10.0,7,14,0,.071,.143,146,51,37,3.7,1.29,0,HS,Jesuit HS (Tampa FL),mcculla02
2012,1s,,50,FrRnd,50,Blue Jays,Y,$2000000,*Matt Smoral (minors),LHP,,,,,,,,,,,,,HS,Solon HS (Solon OH),-9999
2012,1s,,53,FrRnd,53,Rangers,Y,$975000,*Collin Wiles (minors),RHP,0.0,0,0,0,,,4,0,0,4.66,1.34,0,HS,Blue Valley West HS (Stilwell KS),wilesco01
